Index, Open, High, Low, Close, Volume, nBuys, nSells, ProbNoNews, ProbBadNews, ProbGoodNews, Alpha, Delta, EpsSell, EpsBuy, Mu, BPIN, DaysMeasured
2018-05-04, 27.45, 27.45, 25.11, 25.90, 7410594.00, 1558.00, 2328.00, 0.00, 1.00, 0.00, 0.19, 0.67, 147.87, 168.30, 1052.57, 0.39, 1
2018-05-07, 25.95, 27.50, 25.80, 27.50, 655252.00, 673.00, 1417.00, 0.00, 1.00, 0.00, 0.17, 0.63, 146.28, 140.22, 919.15, 0.35, 2
2018-05-08, 27.35, 27.68, 26.98, 27.20, 701301.00, 368.00, 1396.00, 0.00, 1.00, 0.00, 0.17, 0.62, 140.55, 124.29, 795.82, 0.33, 3
2018-05-09, 27.40, 27.40, 27.15, 27.32, 174577.00, 824.00, 401.00, 0.00, 0.00, 1.00, 0.25, 0.61, 127.22, 108.81, 643.81, 0.34, 4
2018-05-11, 27.37, 27.37, 27.10, 27.19, 277358.00, 96.00, 91.00, 0.80, 0.00, 0.00, 0.30, 0.60, 118.02, 98.83, 545.10, 0.34, 5
2018-05-14, 27.35, 27.35, 27.15, 27.20, 86083.00, 64.00, 29.00, 0.83, 0.00, 0.00, 0.33, 0.59, 111.94, 92.18, 479.26, 0.34, 6
2018-05-15, 27.30, 27.40, 27.20, 27.30, 297530.00, 197.00, 388.00, 0.29, 0.71, 0.00, 0.36, 0.59, 108.37, 87.46, 431.82, 0.34, 7
2018-05-16, 27.30, 27.60, 27.30, 27.38, 146084.00, 67.00, 263.00, 0.37, 0.62, 0.00, 0.37, 0.58, 105.41, 83.17, 395.54, 0.34, 8
2018-05-17, 27.36, 27.45, 27.20, 27.20, 120794.00, 51.00, 116.00, 0.89, 0.00, 0.00, 0.39, 0.56, 103.39, 79.82, 367.14, 0.34, 9
2018-05-18, 27.17, 27.20, 26.87, 26.89, 186628.00, 60.00, 37.00, 0.90, 0.00, 0.00, 0.40, 0.55, 101.46, 77.11, 344.55, 0.34, 10
2018-05-22, 27.01, 27.04, 26.87, 26.97, 81361.00, 169.00, 53.00, 0.18, 0.00, 0.73, 0.41, 0.54, 99.86, 74.70, 326.20, 0.34, 11
2018-05-23, 26.95, 26.99, 26.62, 26.65, 205457.00, 14.00, 276.00, 0.25, 0.75, 0.00, 0.41, 0.53, 98.39, 72.59, 311.20, 0.34, 12
2018-05-24, 26.62, 26.65, 26.45, 26.45, 109925.00, 27.00, 67.00, 0.92, 0.00, 0.00, 0.41, 0.52, 97.01, 70.86, 298.16, 0.34, 13
2018-05-25, 26.50, 26.62, 26.40, 26.40, 88978.00, 53.00, 166.00, 0.22, 0.78, 0.00, 0.42, 0.52, 95.52, 69.48, 286.68, 0.34, 14
2018-05-28, 26.41, 26.50, 26.15, 26.16, 105183.00, 3.00, 177.00, 0.20, 0.80, 0.00, 0.41, 0.51, 94.47, 68.28, 277.33, 0.34, 15
2018-05-29, 26.24, 26.24, 25.00, 25.35, 136103.00, 120.00, 266.00, 0.19, 0.81, 0.00, 0.41, 0.50, 93.41, 67.41, 269.33, 0.33, 16
2018-05-30, 25.50, 25.50, 24.10, 24.85, 137916.00, 95.00, 242.00, 0.18, 0.82, 0.00, 0.41, 0.49, 91.99, 66.67, 260.86, 0.33, 17
2018-05-31, 25.40, 25.95, 25.40, 25.50, 49386.00, 32.00, 56.00, 0.94, 0.00, 0.00, 0.41, 0.49, 90.54, 66.13, 252.62, 0.33, 18
2018-06-01, 25.50, 25.56, 25.00, 25.33, 42737.00, 31.00, 122.00, 0.82, 0.12, 0.00, 0.42, 0.49, 89.43, 65.71, 244.99, 0.33, 19
2018-06-04, 25.50, 25.50, 25.00, 25.14, 7414.00, 19.00, 20.00, 0.90, 0.00, 0.00, 0.42, 0.48, 88.42, 65.35, 238.34, 0.33, 20
2018-06-05, 25.05, 25.19, 25.00, 25.19, 11015.00, 7.00, 43.00, 0.95, 0.00, 0.00, 0.42, 0.48, 87.51, 65.02, 232.33, 0.32, 21
2018-06-06, 25.19, 25.35, 24.90, 25.10, 37620.00, 54.00, 136.00, 0.64, 0.31, 0.00, 0.42, 0.47, 86.67, 64.86, 226.76, 0.32, 22
2018-06-07, 25.41, 26.00, 25.41, 25.95, 58980.00, 225.00, 88.00, 0.13, 0.00, 0.87, 0.43, 0.47, 85.85, 64.93, 221.67, 0.32, 23
2018-06-08, 25.80, 25.88, 25.71, 25.82, 32277.00, 83.00, 0.00, 0.96, 0.00, 0.00, 0.43, 0.47, 85.14, 64.93, 216.77, 0.32, 24
2018-06-11, 25.88, 26.02, 25.35, 25.56, 45425.00, 167.00, 118.00, 0.08, 0.00, 0.92, 0.44, 0.46, 81.91, 60.63, 177.22, 0.31, 24
2018-06-12, 25.49, 26.02, 25.00, 25.56, 35612.00, 164.00, 92.00, 0.04, 0.00, 0.96, 0.45, 0.45, 78.67, 58.60, 148.89, 0.31, 24
2018-06-13, 25.25, 25.47, 25.00, 25.25, 15955.00, 70.00, 77.00, 1.00, 0.00, 0.00, 0.46, 0.44, 76.03, 57.25, 130.54, 0.31, 24
2018-06-14, 26.25, 26.30, 25.61, 25.61, 207253.00, 337.00, 230.00, 0.00, 0.00, 1.00, 0.46, 0.44, 75.11, 57.10, 127.31, 0.30, 24
2018-06-15, 25.95, 25.95, 25.58, 25.63, 92548.00, 97.00, 97.00, 0.96, 0.04, 0.00, 0.45, 0.44, 73.91, 57.18, 124.86, 0.30, 24
2018-06-18, 25.60, 25.89, 25.35, 25.44, 23479.00, 64.00, 131.00, 0.42, 0.58, 0.00, 0.44, 0.44, 72.65, 57.11, 122.74, 0.29, 24
2018-06-19, 25.59, 25.59, 25.09, 25.15, 69572.00, 222.00, 82.00, 0.00, 0.00, 1.00, 0.44, 0.45, 71.15, 57.11, 120.60, 0.29, 24
2018-06-20, 25.13, 25.50, 25.13, 25.25, 53507.00, 217.00, 154.00, 0.00, 0.00, 1.00, 0.43, 0.45, 69.74, 57.34, 118.41, 0.28, 24
2018-06-21, 25.25, 25.36, 25.02, 25.05, 47229.00, 49.00, 48.00, 1.00, 0.00, 0.00, 0.42, 0.47, 67.95, 57.52, 115.67, 0.28, 24
2018-06-22, 25.20, 25.20, 25.05, 25.05, 38606.00, 23.00, 36.00, 1.00, 0.00, 0.00, 0.42, 0.48, 66.32, 57.68, 112.85, 0.27, 24
2018-06-25, 25.05, 25.20, 24.75, 24.80, 59266.00, 26.00, 25.00, 1.00, 0.00, 0.00, 0.41, 0.49, 64.78, 57.95, 110.44, 0.27, 24
2018-06-26, 24.75, 25.20, 24.75, 24.90, 79395.00, 21.00, 62.00, 1.00, 0.00, 0.00, 0.41, 0.51, 63.44, 58.31, 107.67, 0.26, 24
2018-06-27, 24.95, 24.95, 24.25, 24.45, 59852.00, 45.00, 34.00, 1.00, 0.00, 0.00, 0.41, 0.52, 62.14, 58.75, 105.01, 0.26, 24
2018-06-28, 24.30, 24.40, 23.00, 23.50, 47672.00, 71.00, 81.00, 0.90, 0.10, 0.00, 0.41, 0.53, 61.07, 59.28, 102.50, 0.26, 24
2018-06-29, 23.70, 23.70, 22.50, 23.10, 86623.00, 63.00, 20.00, 1.00, 0.00, 0.00, 0.42, 0.55, 59.78, 59.81, 99.64, 0.25, 24
2018-07-02, 22.80, 23.00, 22.00, 22.20, 60750.00, 86.00, 130.00, 0.00, 1.00, 0.00, 0.42, 0.57, 58.70, 60.38, 96.74, 0.25, 24
2018-07-03, 22.10, 22.50, 21.85, 21.95, 64397.00, 102.00, 161.00, 0.00, 1.00, 0.00, 0.43, 0.59, 58.03, 60.92, 94.77, 0.25, 24
2018-07-04, 21.95, 22.30, 21.50, 21.85, 40750.00, 131.00, 133.00, 0.00, 0.61, 0.39, 0.43, 0.60, 57.46, 61.39, 93.14, 0.25, 24
2018-07-05, 21.95, 21.95, 21.60, 21.75, 48912.00, 46.00, 46.00, 1.00, 0.00, 0.00, 0.43, 0.61, 56.73, 61.62, 91.60, 0.25, 24
2018-07-06, 21.70, 21.90, 21.10, 21.45, 29322.00, 20.00, 28.00, 1.00, 0.00, 0.00, 0.43, 0.63, 56.00, 61.80, 89.89, 0.24, 24
2018-07-09, 21.45, 21.75, 21.25, 21.55, 64718.00, 56.00, 29.00, 1.00, 0.00, 0.00, 0.43, 0.64, 55.59, 62.16, 88.60, 0.24, 24
2018-07-10, 21.70, 22.50, 21.50, 22.20, 101870.00, 116.00, 173.00, 0.00, 0.96, 0.04, 0.44, 0.63, 56.29, 61.13, 87.34, 0.24, 24
2018-07-11, 22.20, 22.50, 22.20, 22.25, 53634.00, 145.00, 83.00, 0.00, 0.00, 1.00, 0.45, 0.62, 56.91, 59.94, 86.19, 0.24, 24
2018-07-12, 22.25, 22.25, 22.10, 22.15, 16695.00, 92.00, 31.00, 0.81, 0.00, 0.19, 0.45, 0.61, 57.49, 58.92, 85.19, 0.24, 24
2018-07-13, 21.95, 22.15, 21.80, 21.90, 21330.00, 29.00, 51.00, 1.00, 0.00, 0.00, 0.45, 0.60, 57.99, 58.29, 84.54, 0.24, 24
2018-07-16, 22.00, 22.10, 21.80, 21.80, 18092.00, 9.00, 54.00, 1.00, 0.00, 0.00, 0.45, 0.59, 58.65, 57.80, 83.78, 0.24, 24
2018-07-17, 21.75, 21.80, 20.55, 21.30, 109654.00, 50.00, 64.00, 1.00, 0.00, 0.00, 0.45, 0.58, 59.06, 57.93, 82.63, 0.24, 24
2018-07-18, 21.25, 21.85, 21.25, 21.60, 89761.00, 63.00, 49.00, 1.00, 0.00, 0.00, 0.45, 0.57, 59.74, 57.98, 81.39, 0.24, 24
2018-07-19, 21.65, 21.75, 21.25, 21.30, 41202.00, 30.00, 23.00, 1.00, 0.00, 0.00, 0.46, 0.55, 61.05, 57.87, 80.93, 0.24, 24
2018-07-20, 22.15, 22.15, 20.50, 21.00, 98570.00, 103.00, 112.00, 0.00, 0.63, 0.37, 0.46, 0.54, 62.60, 57.97, 80.18, 0.23, 24
2018-07-23, 22.25, 22.25, 21.00, 21.50, 115244.00, 65.00, 62.00, 1.00, 0.00, 0.00, 0.47, 0.52, 63.94, 58.27, 79.59, 0.23, 24
2018-07-24, 21.50, 21.95, 21.20, 21.55, 73444.00, 72.00, 97.00, 0.38, 0.54, 0.08, 0.48, 0.50, 65.26, 58.75, 79.25, 0.23, 24
2018-07-25, 21.95, 22.00, 21.20, 21.45, 28775.00, 40.00, 53.00, 1.00, 0.00, 0.00, 0.48, 0.48, 66.72, 59.31, 79.53, 0.23, 24
2018-07-26, 21.75, 22.05, 21.30, 21.55, 79738.00, 15.00, 200.00, 0.00, 1.00, 0.00, 0.49, 0.46, 68.20, 59.98, 79.78, 0.23, 24
2018-07-27, 22.05, 22.05, 21.45, 21.70, 209730.00, 116.00, 72.00, 0.00, 0.00, 1.00, 0.49, 0.44, 69.50, 60.93, 79.19, 0.23, 24
2018-07-30, 21.90, 22.00, 21.65, 21.75, 123113.00, 79.00, 105.00, 0.50, 0.38, 0.12, 0.49, 0.42, 70.62, 61.84, 78.96, 0.23, 24
2018-07-31, 21.90, 22.00, 21.65, 21.75, 67880.00, 118.00, 132.00, 0.00, 0.55, 0.45, 0.49, 0.40, 71.78, 62.61, 78.75, 0.22, 24
2018-08-02, 21.75, 21.80, 21.20, 21.65, 57804.00, 80.00, 109.00, 0.56, 0.31, 0.13, 0.49, 0.38, 72.83, 63.08, 78.77, 0.22, 24
2018-08-03, 21.50, 22.00, 21.50, 21.65, 74225.00, 150.00, 195.00, 0.00, 0.72, 0.28, 0.48, 0.35, 73.92, 63.55, 79.06, 0.22, 24
2018-08-06, 21.80, 22.20, 21.40, 21.55, 54792.00, 83.00, 84.00, 0.78, 0.09, 0.13, 0.48, 0.33, 74.91, 63.77, 79.12, 0.22, 24
2018-08-07, 21.40, 21.65, 21.10, 21.50, 36081.00, 102.00, 106.00, 0.44, 0.17, 0.39, 0.48, 0.30, 76.02, 63.99, 79.97, 0.22, 24
2018-08-08, 21.40, 21.60, 21.35, 21.50, 43533.00, 29.00, 85.00, 0.92, 0.08, 0.00, 0.47, 0.27, 76.99, 65.02, 82.56, 0.21, 24
2018-08-09, 21.60, 21.65, 21.40, 21.55, 15842.00, 22.00, 42.00, 1.00, 0.00, 0.00, 0.46, 0.25, 77.97, 66.40, 85.35, 0.21, 24
2018-08-10, 21.95, 22.20, 21.75, 22.00, 132451.00, 289.00, 135.00, 0.00, 0.00, 1.00, 0.45, 0.23, 79.01, 68.07, 88.11, 0.21, 24
2018-08-13, 22.00, 22.05, 21.70, 21.95, 165854.00, 127.00, 99.00, 0.17, 0.00, 0.83, 0.44, 0.21, 79.58, 69.35, 89.98, 0.20, 24
2018-08-14, 22.25, 22.25, 21.70, 21.90, 143863.00, 155.00, 98.00, 0.09, 0.00, 0.91, 0.42, 0.22, 79.06, 71.66, 91.75, 0.20, 24
2018-08-15, 21.75, 21.90, 21.30, 21.45, 69956.00, 61.00, 82.00, 1.00, 0.00, 0.00, 0.41, 0.22, 78.56, 74.04, 94.73, 0.20, 24
2018-08-16, 21.65, 21.80, 21.50, 21.75, 214415.00, 73.00, 34.00, 1.00, 0.00, 0.00, 0.40, 0.23, 77.98, 76.29, 97.83, 0.19, 24
2018-08-17, 21.80, 22.65, 21.75, 21.90, 230901.00, 146.00, 61.00, 0.31, 0.00, 0.69, 0.40, 0.23, 77.44, 78.28, 100.14, 0.19, 24
2018-08-20, 22.00, 22.40, 21.80, 21.90, 47083.00, 74.00, 41.00, 1.00, 0.00, 0.00, 0.39, 0.24, 76.86, 79.96, 102.63, 0.19, 24
2018-08-21, 22.05, 22.20, 21.85, 21.95, 108700.00, 121.00, 109.00, 0.42, 0.00, 0.58, 0.39, 0.24, 76.70, 81.10, 105.30, 0.19, 24
2018-08-22, 22.00, 22.05, 21.60, 21.80, 72894.00, 137.00, 78.00, 0.46, 0.00, 0.54, 0.38, 0.25, 76.32, 82.20, 108.22, 0.20, 24
2018-08-23, 21.95, 21.95, 21.60, 21.60, 86596.00, 168.00, 109.00, 0.00, 0.00, 1.00, 0.37, 0.25, 75.81, 83.10, 111.33, 0.20, 24
2018-08-24, 21.70, 21.70, 21.15, 21.30, 62526.00, 89.00, 67.00, 1.00, 0.00, 0.00, 0.36, 0.26, 74.94, 83.95, 114.06, 0.20, 24
2018-08-27, 21.30, 21.50, 21.10, 21.40, 55203.00, 96.00, 60.00, 1.00, 0.00, 0.00, 0.36, 0.27, 74.42, 84.40, 116.97, 0.20, 24
2018-08-28, 21.40, 21.50, 21.30, 21.40, 107927.00, 64.00, 51.00, 1.00, 0.00, 0.00, 0.35, 0.26, 74.21, 84.31, 119.97, 0.20, 24
2018-08-29, 21.40, 21.45, 21.25, 21.35, 76832.00, 64.00, 75.00, 1.00, 0.00, 0.00, 0.35, 0.26, 74.06, 84.22, 122.96, 0.20, 24
2018-08-30, 21.40, 21.75, 21.35, 21.35, 63382.00, 109.00, 70.00, 0.96, 0.00, 0.04, 0.34, 0.26, 73.76, 84.13, 125.97, 0.21, 24
2018-08-31, 21.35, 21.65, 21.30, 21.55, 108538.00, 76.00, 55.00, 1.00, 0.00, 0.00, 0.34, 0.26, 73.67, 83.41, 129.35, 0.21, 24
2018-09-03, 21.60, 21.95, 21.55, 21.85, 109468.00, 138.00, 97.00, 0.58, 0.00, 0.42, 0.34, 0.26, 73.67, 82.67, 132.83, 0.22, 24
2018-09-04, 21.75, 21.90, 21.75, 21.85, 33344.00, 64.00, 35.00, 1.00, 0.00, 0.00, 0.34, 0.27, 73.46, 82.41, 136.33, 0.23, 24
2018-09-05, 21.80, 21.80, 20.90, 21.10, 162670.00, 218.00, 80.00, 0.00, 0.00, 1.00, 0.34, 0.27, 73.40, 82.31, 139.41, 0.23, 24
2018-09-06, 21.10, 21.30, 20.15, 20.35, 198850.00, 144.00, 151.00, 0.00, 0.78, 0.22, 0.34, 0.29, 73.39, 82.48, 142.46, 0.24, 24
2018-09-07, 20.30, 20.35, 18.52, 19.06, 410811.00, 341.00, 174.00, 0.00, 0.00, 1.00, 0.34, 0.30, 73.52, 82.55, 145.71, 0.24, 24
2018-09-10, 19.22, 19.94, 19.10, 19.20, 142665.00, 410.00, 70.00, 0.00, 0.00, 1.00, 0.33, 0.31, 74.16, 83.71, 156.17, 0.25, 24
2018-09-11, 19.26, 19.34, 18.86, 19.04, 93069.00, 69.00, 89.00, 1.00, 0.00, 0.00, 0.33, 0.33, 74.99, 85.19, 169.69, 0.25, 24
2018-09-12, 19.18, 19.26, 18.98, 19.18, 91854.00, 109.00, 62.00, 1.00, 0.00, 0.00, 0.33, 0.35, 76.10, 86.66, 182.85, 0.25, 24
2018-09-13, 19.12, 19.40, 19.12, 19.20, 63007.00, 56.00, 50.00, 1.00, 0.00, 0.00, 0.33, 0.37, 77.25, 88.02, 194.84, 0.26, 24
2018-09-14, 19.20, 19.56, 19.00, 19.52, 147609.00, 75.00, 101.00, 1.00, 0.00, 0.00, 0.32, 0.38, 78.74, 89.94, 207.11, 0.26, 24
2018-09-17, 19.40, 19.86, 19.24, 19.30, 373789.00, 364.00, 48.00, 0.00, 0.00, 1.00, 0.32, 0.40, 80.06, 92.29, 219.66, 0.27, 24
2018-09-18, 19.36, 19.36, 19.20, 19.32, 52946.00, 52.00, 28.00, 1.00, 0.00, 0.00, 0.32, 0.43, 81.37, 94.56, 232.59, 0.27, 24
2018-09-19, 19.34, 19.42, 19.10, 19.20, 102536.00, 121.00, 163.00, 0.33, 0.67, 0.00, 0.32, 0.45, 82.91, 97.01, 245.36, 0.27, 24
2018-09-20, 19.26, 19.42, 19.22, 19.34, 55713.00, 36.00, 45.00, 1.00, 0.00, 0.00, 0.31, 0.47, 84.30, 99.56, 258.72, 0.27, 24
2018-09-21, 19.24, 19.42, 19.10, 19.34, 114208.00, 40.00, 130.00, 0.96, 0.04, 0.00, 0.31, 0.48, 84.97, 99.89, 263.56, 0.28, 23
2018-09-24, 19.18, 19.40, 19.18, 19.32, 97687.00, 34.00, 116.00, 1.00, 0.00, 0.00, 0.31, 0.49, 85.57, 100.31, 268.94, 0.28, 22
2018-09-25, 19.20, 19.40, 19.04, 19.06, 125425.00, 24.00, 58.00, 1.00, 0.00, 0.00, 0.31, 0.49, 86.19, 100.99, 274.58, 0.28, 21
2018-09-26, 19.06, 19.26, 18.52, 18.64, 243244.00, 151.00, 51.00, 0.45, 0.00, 0.55, 0.31, 0.50, 86.92, 102.04, 280.54, 0.28, 20
2018-09-27, 18.88, 18.98, 18.54, 18.54, 138548.00, 53.00, 114.00, 1.00, 0.00, 0.00, 0.31, 0.51, 87.95, 103.20, 287.61, 0.29, 19
2018-09-28, 18.52, 18.70, 18.40, 18.70, 150041.00, 57.00, 119.00, 1.00, 0.00, 0.00, 0.31, 0.52, 88.91, 104.63, 295.15, 0.29, 18
2018-10-01, 18.60, 18.92, 18.56, 18.70, 133539.00, 62.00, 31.00, 1.00, 0.00, 0.00, 0.31, 0.53, 89.58, 106.79, 303.53, 0.29, 17
2018-10-02, 18.70, 19.70, 18.66, 19.00, 268596.00, 57.00, 50.00, 1.00, 0.00, 0.00, 0.30, 0.55, 90.43, 109.18, 312.94, 0.29, 16
2018-10-03, 19.18, 19.18, 18.84, 19.00, 149290.00, 30.00, 177.00, 0.60, 0.40, 0.00, 0.30, 0.57, 91.58, 111.75, 323.69, 0.29, 15
2018-10-04, 20.10, 20.25, 19.36, 19.36, 417765.00, 283.00, 92.00, 0.57, 0.00, 0.43, 0.29, 0.59, 92.71, 115.27, 335.96, 0.29, 14
2018-10-05, 19.46, 19.70, 18.70, 18.82, 142856.00, 158.00, 212.00, 0.69, 0.31, 0.00, 0.29, 0.62, 93.91, 119.37, 349.67, 0.29, 13
2018-10-08, 18.66, 18.82, 18.50, 18.60, 111204.00, 177.00, 73.00, 0.75, 0.00, 0.25, 0.27, 0.64, 95.75, 123.21, 365.76, 0.29, 12
2018-10-09, 18.70, 18.70, 18.50, 18.70, 164814.00, 202.00, 335.00, 0.00, 1.00, 0.00, 0.26, 0.66, 97.69, 127.81, 385.21, 0.28, 11
2018-10-10, 18.58, 18.70, 18.30, 18.42, 122555.00, 151.00, 140.00, 0.90, 0.00, 0.10, 0.24, 0.68, 100.00, 132.60, 407.96, 0.28, 10
2018-10-11, 21.55, 26.00, 21.55, 24.75, 2844493.00, 551.00, 1235.00, 0.00, 1.00, 0.00, 0.21, 0.71, 102.39, 139.04, 435.60, 0.27, 9
2018-10-12, 24.70, 26.75, 23.85, 26.25, 2326493.00, 558.00, 809.00, 0.00, 1.00, 0.00, 0.21, 0.75, 103.29, 143.77, 446.38, 0.27, 8
2018-10-15, 26.05, 26.45, 24.55, 24.80, 338104.00, 154.00, 228.00, 1.00, 0.00, 0.00, 0.21, 0.76, 104.41, 145.96, 444.43, 0.27, 7
2018-10-16, 24.70, 25.45, 24.70, 25.30, 511072.00, 190.00, 399.00, 0.00, 1.00, 0.00, 0.21, 0.77, 104.78, 148.29, 442.91, 0.27, 6
2018-10-17, 25.40, 25.65, 24.75, 25.20, 254698.00, 268.00, 147.00, 1.00, 0.00, 0.00, 0.21, 0.79, 104.92, 150.86, 446.47, 0.27, 5
2018-10-18, 24.90, 25.30, 24.90, 25.05, 110515.00, 183.00, 16.00, 1.00, 0.00, 0.00, 0.20, 0.80, 103.91, 152.55, 453.04, 0.26, 4
2018-10-19, 25.00, 25.10, 23.80, 24.15, 141828.00, 119.00, 37.00, 1.00, 0.00, 0.00, 0.19, 0.83, 103.63, 153.90, 462.87, 0.26, 3
2018-10-22, 24.70, 24.70, 23.45, 23.50, 137852.00, 149.00, 96.00, 1.00, 0.00, 0.00, 0.19, 0.83, 104.26, 156.14, 462.25, 0.25, 2
2018-10-23, 23.25, 23.35, 20.70, 21.55, 270676.00, 262.00, 108.00, 1.00, 0.00, 0.00, 0.19, 0.83, 102.90, 158.95, 463.67, 0.26, 1
2018-10-24, 21.95, 23.00, 21.85, 22.50, 225428.00, 211.00, 109.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0
